parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_childcare_center,dist_to_nosmoking_zone,dist_to_overpass,dist_to_school,dist_to_tunnel,complaint_count,building_use,target_label
300843,1117000000000000000,후암동 10-1도,도,국유지,1985.2149663565215,126.97690264845869,37.55178968866212,55.62122411,231.9042163,457.19749507,448.82222909,378.67439537,101,미지정,0
300845,1117000000000000002,후암동 56-35 도,도,국유지,30.80084282718599,126.97829226773868,37.54998979918271,105.79817938,276.91751433,298.80121439,290.08214682,492.51702435,101,미지정,0
300846,1117000000000000003,후암동 445-15 도,도,국유지,205.5411632801406,126.97663939994912,37.554327307862366,291.40937857,276.04643486,175.42460596,556.73425837,277.62645335,101,미지정,0
300847,1117000000000000004,후암동 427-6도,도,국유지,650.2881874656887,126.97673121249647,37.55293963941211,178.22879935,205.61175123,329.28871644,575.74979368,309.85950716,101,미지정,0
300848,1117000000000000005,후암동 56-39 도,도,국유지,9.846810799790546,126.97870628502658,37.5502816120518,142.57028451,324.40779698,268.05334596,292.56111223,451.48111832,101,미지정,0
300849,1117000000000000006,후암동 46-9도,도,국유지,372.42477860237705,126.98034338124403,37.55093695960344,224.92339176,474.07836228,178.04426029,130.96326555,367.15480126,101,미지정,1
300850,1117000000000000007,후암동 448-91도,도,국유지,212.93958334543277,126.97741788048639,37.5546916394019,305.57518927,353.65625249,148.19847389,530.17825023,212.9316579,101,미지정,0
300851,1117000000000000008,후암동 58-48 도,도,국유지,148.72652741195634,126.97901147185861,37.55051352051392,175.28148751,361.13743016,249.77332918,257.69221686,420.47064202,101,미지정,0
300852,1117000000000000009,후암동 56-30 도,도,국유지,72.18887049565092,126.97861895958158,37.55013728911081,125.19462622,306.92560129,272.39127416,319.44102132,468.90169434,101,미지정,0
300853,1117000000000000010,후암동 45-40 도,도,국유지,433.4149291620124,126.98083773152382,37.550565329773114,280.5825181,468.14465949,118.45499158,118.41777287,283.53002443,101,미지정,1
300854,1117000000000000011,후암동 43-72 도,도,국유지,136.13173970533535,126.98128486137627,37.551583810201365,278.23315267,546.17413736,207.98722112,45.77558502,224.14529682,101,미지정,1
300855,1117000000000000012,후암동 30-155 도,도,국유지,77.72460568370298,126.98148561169296,37.55121671619346,304.86059896,501.75536061,164.76303742,26.7808753,214.10102448,101,미지정,1
300856,1117000000000000013,후암동 30-172 도,도,국유지,256.1984708184609,126.9805773762585,37.551676942375174,214.8690427,548.5177721,237.17586736,107.08335093,288.84535679,101,미지정,1
300857,1117000000000000014,후암동 30-166 도,도,국유지,1156.236855196301,126.98045038759223,37.55177947116277,202.08949338,550.13327351,252.17147109,121.58808104,275.63322787,101,미지정,1
300858,1117000000000000015,후암동 30-163도,도,국유지,578.8629815289751,126.97962171096258,37.55220106834285,129.11139619,457.99112275,328.84682222,207.65735204,226.84777114,101,미지정,0
300859,1117000000000000016,후암동 448-24도,도,국유지,231.37673835310852,126.97883638799756,37.55306217747871,130.70850238,391.16706184,366.83402305,317.15160884,161.98964708,101,미지정,0
300860,1117000000000000017,후암동 448-25 도,도,국유지,90.31475066952407,126.97883786220001,37.55299395746914,124.02640744,390.26302883,373.43510208,312.6088317,168.11657476,101,미지정,0
300861,1117000000000000018,후암동 448-19 도,도,국유지,63.4128426911775,126.97867091808432,37.55378572904423,202.17833432,396.89842655,291.65592904,380.73101421,114.48126495,101,미지정,0
300862,1117000000000000019,후암동 448-101도,도,국유지,806.9741301871836,126.97784196586458,37.554257174181195,251.60985252,354.20655325,208.09817929,469.78351367,171.49322739,101,미지정,0
300863,1117000000000000020,후암동 448-62 도,도,국유지,79.54975231760181,126.977871839631,37.5544673569829,274.5101245,369.38388035,189.30883972,484.15946223,169.54540248,101,미지정,0
300864,1117000000000000021,후암동 448-15 도,도,국유지,391.08081008773297,126.97822465837045,37.55431731259484,256.52127926,386.53827435,220.77689081,450.51921724,137.54861456,101,미지정,0
300865,1117000000000000022,후암동 27-6도,도,국유지,49.356361041078344,126.97743539542971,37.55071444411327,76.85334817,320.37399678,388.9926136,336.96464976,448.46462926,101,미지정,0
300866,1117000000000000023,후암동 27-16도,도,국유지,93.30376725969836,126.97766347811006,37.55078995164768,74.91140259,333.87210146,372.29635564,350.04094373,431.44117748,101,미지정,0
300867,1117000000000000024,후암동 27-4도,도,국유지,67.18652156647295,126.97746369255286,37.55060645218111,89.0871975,309.40492761,383.34725152,325.86624392,457.72888642,101,미지정,0
300868,1117000000000000025,후암동 15-1 도,도,국유지,74.20288620272186,126.9775126182483,37.55157744069963,27.69949749,290.68784156,485.52896332,432.13317927,364.07094036,101,미지정,1
300869,1117000000000000026,후암동 60-79도,도,국유지,78.79387506772764,126.97784440264292,37.550551713612975,105.71357368,314.15132692,349.28364654,329.67138528,448.16787121,101,미지정,0
300870,1117000000000000027,후암동 66-2도,도,국유지,185.03390976355877,126.97761801686411,37.55058022595605,95.12540905,310.4578825,369.42053272,326.552962,453.96683399,101,미지정,0
300871,1117000000000000028,후암동 257-10도,도,국유지,61.27610171237029,126.9795153393891,37.54626575923702,62.52127829,319.49454984,329.60827825,306.46674624,568.17127578,101,미지정,0
300872,1117000000000000029,후암동 257-6도,도,국유지,56.60260526626371,126.97968470357534,37.546171323687396,79.34540672,337.76645506,326.21237758,324.72345668,560.4478366,101,미지정,0
300873,1117000000000000030,후암동 418-20도,도,국유지,27.325265678577125,126.98107053122754,37.546630274228285,104.31582042,256.76909109,210.98108046,414.79528277,428.91630893,101,미지정,0
300874,1117000000000000031,후암동 415-3도,도,국유지,1315.2898056793492,126.98193185650953,37.54658269353656,96.49047152,184.83080955,190.59628356,531.13615386,365.63140468,101,미지정,0
300875,1117000000000000032,후암동 3-14 도,도,국유지,71.34383980743587,126.97757312596511,37.55173883336769,45.12858064,289.61732436,468.63819663,450.73543339,346.33170056,101,미지정,1
300876,1117000000000000033,후암동 448-193 도,도,국유지,23.88022102881223,126.97856403545518,37.55417395578371,242.94832225,405.31682679,251.9353812,418.50609746,108.72899515,101,미지정,0
300877,1117000000000000034,후암동 418-11도,도,국유지,281.1133293118328,126.98117874267454,37.54666203311062,96.50366087,246.67585787,203.28021491,422.90266473,418.87201537,101,미지정,0
300878,1117000000000000035,후암동 260도,도,국유지,818.7043913879897,126.98077391457265,37.54644675881877,135.90560109,287.10359901,242.00406658,396.85588042,461.80023764,101,미지정,0
300879,1117000000000000036,후암동 400-77 도,도,국유지,113.74131423677318,126.98301595760401,37.54838904972551,158.28286337,160.63800519,57.67463289,349.45988095,182.44320594,101,미지정,0
300880,1117000000000000037,후암동 449-12도,도,국유지,81.21752474579262,126.97679663333945,37.55391581380185,244.70979853,256.51030103,221.04266087,519.346089,267.46707165,101,미지정,0
300881,1117000000000000038,후암동 400-103도,도,국유지,27.609020641364623,126.98253335523975,37.54841010947306,131.83077792,187.10292584,16.00314794,335.67578289,218.21197458,101,미지정,0
300882,1117000000000000039,후암동 17-2도,도,국유지,63.557060025050305,126.97718580510764,37.55138836692129,9.70573877,273.3104269,503.13297893,406.82849663,397.82685899,101,미지정,1
300883,1117000000000000040,후암동 358-54도,도,국유지,93.06592801772058,126.98298019970491,37.54868808051427,180.24001559,191.58434716,62.80821722,317.15290173,168.59053722,101,미지정,0
300884,1117000000000000041,후암동 358-187도,도,국유지,29.29577973857522,126.98255335676815,37.548928693728385,182.96214743,232.96844784,57.74382561,280.15866677,187.91111442,101,미지정,0
300885,1117000000000000042,후암동 400-69 도,도,국유지,14.456728827906772,126.98307147444595,37.54831752736319,156.84799413,151.31438956,62.1018354,358.57002191,182.16196221,101,미지정,0
