parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_school,dist_to_childcare,complaint_count,building_use,target_label
29358,1117010100100100001,후암동 10-1도,도,국유지,1985.2149663565215,126.97690264845869,37.55178968866212,448.82222909,55.62122411,81,미지정,0
29360,1117010100100560035,후암동 56-35 도,도,국유지,30.80084282718599,126.97829226773868,37.54998979918271,290.08214682,105.79817938,81,미지정,0
29361,1117010100104450015,후암동 445-15 도,도,국유지,205.5411632801406,126.97663939994912,37.554327307862366,556.73425837,291.40937857,81,미지정,0
29362,1117010100104270006,후암동 427-6도,도,국유지,650.2881874656887,126.97673121249647,37.55293963941211,575.74979368,178.22879935,81,미지정,0
29363,1117010100100560039,후암동 56-39 도,도,국유지,9.846810799790546,126.97870628502658,37.5502816120518,292.56111223,142.57028451,81,미지정,0
29364,1117010100100460009,후암동 46-9도,도,국유지,372.42477860237705,126.98034338124403,37.55093695960344,130.96326555,224.92339176,81,미지정,0
29365,1117010100104480091,후암동 448-91도,도,국유지,212.93958334543277,126.97741788048639,37.5546916394019,530.17825023,305.57518927,81,미지정,0
29366,1117010100100580048,후암동 58-48 도,도,국유지,148.72652741195634,126.97901147185861,37.55051352051392,257.69221686,175.28148751,81,미지정,0
29367,1117010100100560030,후암동 56-30 도,도,국유지,72.18887049565092,126.97861895958158,37.55013728911081,319.44102132,125.19462622,81,미지정,0
29368,1117010100100450040,후암동 45-40 도,도,국유지,433.4149291620124,126.98083773152382,37.550565329773114,118.41777287,280.5825181,81,미지정,0
29369,1117010100100430072,후암동 43-72 도,도,국유지,136.13173970533535,126.98128486137627,37.551583810201365,45.77558502,278.23315267,81,미지정,0
29370,1117010100100300155,후암동 30-155 도,도,국유지,77.72460568370298,126.98148561169296,37.55121671619346,26.7808753,304.86059896,81,미지정,0
29371,1117010100100300172,후암동 30-172 도,도,국유지,256.1984708184609,126.9805773762585,37.551676942375174,107.08335093,214.8690427,81,미지정,0
29372,1117010100100300166,후암동 30-166 도,도,국유지,1156.236855196301,126.98045038759223,37.55177947116277,121.58808104,202.08949338,81,미지정,0
29373,1117010100100300163,후암동 30-163도,도,국유지,578.8629815289751,126.97962171096258,37.55220106834285,207.65735204,129.11139619,81,미지정,0
29374,1117010100104480024,후암동 448-24도,도,국유지,231.37673835310852,126.97883638799756,37.55306217747871,317.15160884,130.70850238,81,미지정,0
29375,1117010100104480025,후암동 448-25 도,도,국유지,90.31475066952407,126.97883786220001,37.55299395746914,312.6088317,124.02640744,81,미지정,0
29376,1117010100104480019,후암동 448-19 도,도,국유지,63.4128426911775,126.97867091808432,37.55378572904423,380.73101421,202.17833432,81,미지정,0
29377,1117010100104480101,후암동 448-101도,도,국유지,806.9741301871836,126.97784196586458,37.554257174181195,469.78351367,251.60985252,81,미지정,0
29378,1117010100104480062,후암동 448-62 도,도,국유지,79.54975231760181,126.977871839631,37.5544673569829,484.15946223,274.5101245,81,미지정,0
29379,1117010100104480015,후암동 448-15 도,도,국유지,391.08081008773297,126.97822465837045,37.55431731259484,450.51921724,256.52127926,81,미지정,0
29380,1117010100100270006,후암동 27-6도,도,국유지,49.356361041078344,126.97743539542971,37.55071444411327,336.96464976,76.85334817,81,미지정,0
29381,1117010100100270016,후암동 27-16도,도,국유지,93.30376725969836,126.97766347811006,37.55078995164768,350.04094373,74.91140259,81,미지정,0
29382,1117010100100270004,후암동 27-4도,도,국유지,67.18652156647295,126.97746369255286,37.55060645218111,325.86624392,89.0871975,81,미지정,0
29383,1117010100100150001,후암동 15-1 도,도,국유지,74.20288620272186,126.9775126182483,37.55157744069963,432.13317927,27.69949749,81,미지정,0
29384,1117010100100600079,후암동 60-79도,도,국유지,78.79387506772764,126.97784440264292,37.550551713612975,329.67138528,105.71357368,81,미지정,0
29385,1117010100100660002,후암동 66-2도,도,국유지,185.03390976355877,126.97761801686411,37.55058022595605,326.552962,95.12540905,81,미지정,0
29386,1117010100102570010,후암동 257-10도,도,국유지,61.27610171237029,126.9795153393891,37.54626575923702,72.64399311,62.52127829,81,미지정,0
29387,1117010100102570006,후암동 257-6도,도,국유지,56.60260526626371,126.97968470357534,37.546171323687396,58.50283077,79.34540672,81,미지정,0
29388,1117010100104180020,후암동 418-20도,도,국유지,27.325265678577125,126.98107053122754,37.546630274228285,67.50007991,104.31582042,81,미지정,0
29389,1117010100104150003,후암동 415-3도,도,국유지,1315.2898056793492,126.98193185650953,37.54658269353656,102.55053271,96.49047152,81,미지정,0
29390,1117010100100030014,후암동 3-14 도,도,국유지,71.34383980743587,126.97757312596511,37.55173883336769,450.73543339,45.12858064,81,미지정,0
29391,1117010100104480193,후암동 448-193 도,도,국유지,23.88022102881223,126.97856403545518,37.55417395578371,418.50609746,242.94832225,81,미지정,0
29392,1117010100104180011,후암동 418-11도,도,국유지,281.1133293118328,126.98117874267454,37.54666203311062,72.39515647,96.50366087,81,미지정,0
29393,1117010100102600000,후암동 260도,도,국유지,818.7043913879897,126.98077391457265,37.54644675881877,51.23915063,135.90560109,81,미지정,0
29394,1117010100104000077,후암동 400-77 도,도,국유지,113.74131423677318,126.98301595760401,37.54838904972551,326.92502342,158.28286337,81,미지정,0
29395,1117010100104490012,후암동 449-12도,도,국유지,81.21752474579262,126.97679663333945,37.55391581380185,519.346089,244.70979853,81,미지정,0
29396,1117010100104000103,후암동 400-103도,도,국유지,27.609020641364623,126.98253335523975,37.54841010947306,297.16670833,131.83077792,81,미지정,0
29397,1117010100100170002,후암동 17-2도,도,국유지,63.557060025050305,126.97718580510764,37.55138836692129,406.82849663,9.70573877,81,미지정,0
29398,1117010100103580054,후암동 358-54도,도,국유지,93.06592801772058,126.98298019970491,37.54868808051427,293.70401676,180.24001559,81,미지정,0
29399,1117010100103580187,후암동 358-187도,도,국유지,29.29577973857522,126.98255335676815,37.548928693728385,262.54139488,182.96214743,81,미지정,0
29400,1117010100104000069,후암동 400-69 도,도,국유지,14.456728827906772,126.98307147444595,37.54831752736319,335.61259214,156.84799413,81,미지정,0
29401,1117010100104000015,후암동 400-15도,도,국유지,382.38665966666304,126.9826654762534,37.54853171244571,307.20624136,149.57758669,81,미지정,0
29402,1117010100103580158,후암동 358-158도,도,국유지,124.85806104796939,126.98294114082978,37.54871617640051,290.02147695,180.53100883,81,미지정,0
29403,1117010100104450013,후암동 445-13도,도,국유지,61.35818995605223,126.97676987120064,37.55392241780544,521.72866945,246.53260494,81,미지정,0
29404,1117010100104460015,후암동 446-15도,도,국유지,75.07369432365522,126.97690947938169,37.55362038151536,493.60810986,211.46966563,81,미지정,0
29405,1117010100100010017,후암동 1-17도,도,국유지,250.97375045524677,126.97708232751084,37.552374340015504,514.69496986,110.00029805,81,단독주택,0
29405,1117010100100010017,후암동 1-17도,도,국유지,250.97375045524677,126.97708232751084,37.552374340015504,514.69496986,110.00029805,81,단독주택,0
29406,1117010100100140001,후암동 14-1도,도,국유지,56.62306738074403,126.97733809866922,37.551573585346844,429.07930151,19.87720444,81,미지정,0
29407,1117010100100090001,후암동 9-1 도,도,국유지,10.533138131722808,126.9770375339851,37.55173791806331,443.98116719,44.07389008,81,미지정,0
29408,1117010100100080001,후암동 8-1 도,도,국유지,95.95053402200574,126.97726455651518,37.55176040135601,448.67477618,40.33310512,81,미지정,0
29409,1117010100100020002,후암동 2-2 도,도,국유지,47.820787844248116,126.97728469124282,37.55182692240908,456.2288641,47.63504265,81,미지정,0
29410,1117010100100020008,후암동 2-8 도,도,국유지,35.89008180011297,126.97721244609917,37.55178433169377,450.72576123,43.51508158,81,미지정,0
29411,1117010100100070004,후암동 7-4 도,도,국유지,125.3482925784192,126.97731036383433,37.55173668200193,446.62148778,37.63522329,81,미지정,0
29412,1117010100103580157,후암동 358-157도,도,국유지,313.74302149628056,126.98260503692886,37.549455409155065,204.62766016,238.85671479,81,미지정,0
29413,1117010100104390012,후암동 439-12 도,도,국유지,28.382097632566,126.97681293832063,37.55302609168394,471.5049295,185.67207925,81,미지정,0
29414,1117010100103580156,후암동 358-156도,도,국유지,26.514950233045965,126.98232278521667,37.549867589606045,157.91420499,276.21719014,81,미지정,0
29415,1117010100103980009,후암동 398-9도,도,국유지,21.871278899430763,126.98234840044844,37.54893945067264,260.87298652,177.30598043,81,미지정,0
29416,1117010100104390023,후암동 439-23 도,도,국유지,17.20680871559307,126.97673991013586,37.55282584639499,563.14013233,165.91123845,81,미지정,0
29417,1117010100100010009,후암동 1-9도,도,국유지,198.53859960380942,126.97694662155043,37.55257395390403,535.9432941,134.11861032,81,미지정,0
29418,1117010100103980005,후암동 398-5도,도,국유지,15.45701751112938,126.98241904335873,37.54899609052454,254.6098842,185.33275256,81,미지정,0
29419,1117010100104280000,후암동 428도,도,국유지,105.02098037430551,126.97697103590606,37.552774678666474,448.19566548,155.47410739,81,미지정,0
29420,1117010100104280014,후암동 428-14도,도,국유지,216.84270364313852,126.97715797844913,37.55297548338271,441.29791822,140.51795691,81,미지정,0
29421,1117010100100180003,후암동 18-3도,도,국유지,59.781294720305596,126.9774545568589,37.55127294654526,397.97810763,19.76971901,81,미지정,0
29422,1117010100100310002,후암동 31-2도,도,국유지,144.5418117120862,126.97777248732307,37.55146948667847,425.40453984,42.93645987,81,미지정,0
29423,1117010100100270041,후암동 27-41 도,도,국유지,35.32162366807461,126.97781681757598,37.55107267684763,383.94077241,58.55220011,81,미지정,0
29424,1117010100100260000,후암동 26도,도,국유지,49.9299129183637,126.97741988843056,37.55100491828718,368.20294072,44.98104769,81,미지정,0
29425,1117010100100250001,후암동 25-1도,도,국유지,88.26237469498301,126.97737699761096,37.551039305554,371.21904254,40.44403602,81,미지정,0
29426,1117010100100270003,후암동 27-3도,도,국유지,87.57112354971468,126.97735760544295,37.550918458655325,357.72315088,53.48909831,81,미지정,0
29427,1117010100100270005,후암동 27-5도,도,국유지,52.73007545853034,126.97741085554418,37.55080774106451,346.61324002,66.28591969,81,미지정,0
29428,1117010100100300134,후암동 30-134도,도,국유지,27.519758781418204,126.97759001924447,37.551150318840584,387.17334609,37.86994461,81,미지정,0
29429,1117010100100600032,후암동 60-32도,도,국유지,921.3606263183174,126.97833017251409,37.550477218420895,339.03923223,137.13872535,81,미지정,0
29430,1117010100100600045,후암동 60-45도,도,국유지,42.721539770253,126.97904344168963,37.55080662037037,244.8782345,153.41029229,81,미지정,0
29431,1117010100100450045,후암동 45-45도,도,국유지,63.25327275134623,126.9807826404114,37.5511470131018,86.6683756,248.874618,81,미지정,0
29432,1117010100100410003,후암동 41-3 도,도,국유지,80.64183739293367,126.97805150165198,37.55117534196818,325.23150509,71.26249626,81,미지정,0
29433,1117010100100300052,후암동 30-52도,도,국유지,126.0891806576401,126.97830569950352,37.5514584938358,302.26049853,61.78939187,81,미지정,0
29434,1117010100100300059,후암동 30-59 도,도,국유지,25.293326811864972,126.97906663790874,37.5514940071087,235.27699249,96.72025626,81,미지정,0
29435,1117010100100300060,후암동 30-60도,도,국유지,92.42017843201756,126.97898929560851,37.551546527334146,242.51248205,87.76758404,81,미지정,0
29436,1117010100100410015,후암동 41-15 도,도,국유지,648.665874669794,126.97849154612186,37.551145037055214,286.70737281,99.44797516,81,미지정,0
29437,1117010100102540043,후암동 254-43도,도,국유지,2385.5109662350733,126.9797544983197,37.54669409817649,115.6559297,91.10112125,81,미지정,0
29438,1117010100104480016,후암동 448-16 도,도,국유지,48.780428192578256,126.97865856483715,37.554138451983654,410.01334349,240.37115642,81,미지정,0
29439,1117010100104480017,후암동 448-17 도,도,국유지,52.8994576681871,126.97873380082805,37.55408182672103,400.9042525,235.47481163,81,미지정,0
29440,1117010100104480013,후암동 448-13 도,도,국유지,53.801396374125034,126.9779380834245,37.55449168434804,482.00186992,276.68096088,81,미지정,0
29441,1117010100104480194,후암동 448-194 도,도,국유지,97.3609021223383,126.97873186864776,37.55325270338286,337.33603394,146.64203074,81,미지정,0
29442,1117010100104480023,후암동 448-23 도,도,국유지,356.1962251961231,126.97868617250369,37.553479201541855,356.52553066,169.45264849,81,미지정,0
29443,1117010100100300175,후암동 30-175 도,도,국유지,61.32445014640689,126.97881687632601,37.55315893293886,325.0045246,139.71488631,81,미지정,0
29444,1117010100104010007,후암동 401-7 도,도,국유지,29.394068959751166,126.98213218946724,37.54830990968747,272.46586564,105.14807061,81,미지정,0
29445,1117010100103980010,후암동 398-10도,도,국유지,10.317735749296844,126.98240278548798,37.548965779784545,257.95497976,181.67908094,81,미지정,0
29446,1117010100103580184,후암동 358-184 도,도,국유지,131.95346649346175,126.98261492234033,37.54895627074971,259.87707355,188.04885262,81,미지정,0
29447,1117010100103520006,후암동 352-6도,도,국유지,69.81595658045262,126.98180634056803,37.549488215775796,208.46753045,228.62038618,81,미지정,0
29448,1117010100103520029,후암동 352-29도,도,국유지,37.52419086592272,126.98179933886566,37.54953392067433,203.37715804,233.661593,81,미지정,0
29449,1117010100103610003,후암동 361-3도,도,국유지,876.9866077232291,126.98192336659265,37.54920578933761,234.69269148,198.12043028,81,미지정,0
29450,1117010100103570003,후암동 357-3도,도,국유지,261.9742891835049,126.98198376662548,37.549095170092215,245.99852115,186.58220774,81,미지정,0
29451,1117010100104000038,후암동 400-38 도,도,국유지,12.357884190510958,126.98298166666667,37.548262666666666,303.58385355,146.84825051,81,미지정,0
29452,1117010100103580193,후암동 358-193 도,도,국유지,217.32174590136856,126.98352946255676,37.54837338994944,339.43573428,193.34315221,81,미지정,0
29453,1117010100103530020,후암동 353-20도,도,국유지,171.3358981772326,126.98192590097025,37.549261551179676,228.55674453,204.2994142,81,미지정,0
29454,1117010100104000072,후암동 400-72 도,도,국유지,26.58902075648075,126.98299875876062,37.54829335091602,307.23973829,150.17413243,81,미지정,0
29455,1117010100104010004,후암동 401-4도,도,국유지,525.1410899126786,126.98243451339421,37.548262503987445,278.60477613,113.39863214,81,미지정,0
29456,1117010100103980002,후암동 398-2도,도,국유지,141.64866762887686,126.98215883037331,37.54882940807801,273.73288868,160.70543634,81,미지정,0
29457,1117010100103990016,후암동 399-16도,도,국유지,412.10329915594775,126.98232749713215,37.54873145837101,283.97709,155.00386085,81,미지정,0
29458,1117010100103440002,후암동 344-2도,도,국유지,33.37056884355843,126.9820230435954,37.5496090325251,189.09556541,243.58414031,81,미지정,0
29459,1117010100103520031,후암동 352-31도,도,국유지,96.00749312108383,126.9818383584125,37.54942604040249,212.18666723,221.87630729,81,미지정,0
29460,1117010100103580020,후암동 358-20도,도,국유지,1706.0366900305962,126.98307110186529,37.54929224977888,230.1272655,239.9977593,81,미지정,0
29461,1117010100103990022,후암동 399-22도,도,국유지,388.75681367039215,126.98224844022286,37.548522812004634,307.30323136,130.90533483,81,미지정,0
29462,1117010100103980007,후암동 398-7도,도,국유지,65.82963693421334,126.98216004998515,37.548886781014104,267.37318738,166.89259552,81,미지정,0
29463,1117010100100410006,후암동 41-6도,도,국유지,104.25797093193978,126.97924775970087,37.55131217576784,218.91890232,121.72810214,81,미지정,0
29464,1117010100103580177,후암동 358-177도,도,국유지,118.66961446218193,126.98361502260423,37.54850791802692,327.68250959,207.95475895,81,미지정,0
29465,1117010100103580161,후암동 358-161도,도,국유지,129.00136615429074,126.98208640127727,37.54893560789681,262.51569181,170.69222625,81,미지정,0
29466,1117010100103950012,후암동 395-12 도,도,국유지,41.01133033121005,126.98200751169831,37.5485494834788,293.88230517,127.33410131,81,미지정,0
29467,1117010100104030002,후암동 403-2도,도,국유지,92.23319687013282,126.9821863880795,37.54801454673542,244.24315002,78.2847138,81,미지정,0
29468,1117010100104040083,후암동 404-83도,도,국유지,117.3275828147307,126.98227265770808,37.54740494477186,189.70178054,51.58451174,81,미지정,0
29469,1117010100104040001,후암동 404-1도,도,국유지,464.860794353066,126.98217576490528,37.547671881190226,210.00836502,50.61920252,81,미지정,0
