parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_childcare_center,dist_to_parking_lot,dist_to_school,complaint_count,building_use,target_label
278925,1117000000000004201,이태원동 276-15도,도,국유지,18.328201424796134,126.98861972651859,37.53898818526447,73.37466997,203.89104865,447.83178077,290.91645305,70,미지정,0
278925,1117000000000004201,이태원동 276-15도,도,국유지,18.328201424796134,126.98861972651859,37.53898818526447,73.37466997,203.89104865,447.83178077,290.91645305,66,미지정,0
278926,1117000000000004202,이태원동 262-39 도,도,국유지,89.21703618956963,126.98954266648342,37.5440769942832,65.00241927,400.74745502,175.8733095,32.44834913,70,미지정,0
278926,1117000000000004202,이태원동 262-39 도,도,국유지,89.21703618956963,126.98954266648342,37.5440769942832,65.00241927,400.74745502,175.8733095,32.44834913,66,미지정,0
278927,1117000000000004203,이태원동 685도,도,국유지,5836.840338946029,126.98721712721105,37.538986227777706,171.22347468,332.77592839,452.03926733,281.26021004,70,미지정,0
278927,1117000000000004203,이태원동 685도,도,국유지,5836.840338946029,126.98721712721105,37.538986227777706,171.22347468,332.77592839,452.03926733,281.26021004,66,미지정,0
278928,1117000000000004204,이태원동 496도,도,국유지,606.4245271006366,126.98686613100413,37.53834003653202,189.79152656,287.45558092,528.29452547,218.57901405,70,미지정,0
278928,1117000000000004204,이태원동 496도,도,국유지,606.4245271006366,126.98686613100413,37.53834003653202,189.79152656,287.45558092,528.29452547,218.57901405,66,미지정,0
278929,1117000000000004205,이태원동 262-41도,도,국유지,521.3205749874469,126.99004289170058,37.54402580185824,89.50479527,440.78032678,207.29195231,52.32329552,70,미지정,0
278929,1117000000000004205,이태원동 262-41도,도,국유지,521.3205749874469,126.99004289170058,37.54402580185824,89.50479527,440.78032678,207.29195231,52.32329552,66,미지정,0
278930,1117000000000004206,이태원동 165-15도,도,국유지,16.739871439756826,126.9905690465866,37.53557538158024,57.65042739,171.92271279,576.27591796,220.6109573,70,미지정,0
278930,1117000000000004206,이태원동 165-15도,도,국유지,16.739871439756826,126.9905690465866,37.53557538158024,57.65042739,171.92271279,576.27591796,220.6109573,66,미지정,0
278931,1117000000000004207,이태원동 262-72도,도,국유지,625.4159902468091,126.99077736439344,37.54416072640565,152.96026359,545.27326408,270.75328072,104.05767808,70,미지정,0
278931,1117000000000004207,이태원동 262-72도,도,국유지,625.4159902468091,126.99077736439344,37.54416072640565,152.96026359,545.27326408,270.75328072,104.05767808,66,미지정,0
278932,1117000000000004208,이태원동 262-71도,도,국유지,3760.5880036769668,126.99089278015984,37.544447585820535,177.87549032,574.16867911,295.77617799,112.25055033,70,미지정,0
278932,1117000000000004208,이태원동 262-71도,도,국유지,3760.5880036769668,126.99089278015984,37.544447585820535,177.87549032,574.16867911,295.77617799,112.25055033,66,미지정,0
278933,1117000000000004209,이태원동 258-486 도,도,국유지,19.583063669037074,126.99305986526421,37.54171290241255,139.04671924,269.95006346,140.37672751,422.42328273,70,미지정,0
278933,1117000000000004209,이태원동 258-486 도,도,국유지,19.583063669037074,126.99305986526421,37.54171290241255,139.04671924,269.95006346,140.37672751,422.42328273,66,미지정,0
278934,1117000000000004210,이태원동 258-409도,도,국유지,117.76294843724463,126.99286690581097,37.54181998845022,122.24204474,277.23712585,149.5277767,401.91975428,70,미지정,0
278934,1117000000000004210,이태원동 258-409도,도,국유지,117.76294843724463,126.99286690581097,37.54181998845022,122.24204474,277.23712585,149.5277767,401.91975428,66,미지정,0
278935,1117000000000004211,이태원동 258-497 도,도,국유지,18.479563142638654,126.99263138428874,37.54164361995754,101.74817844,254.18389449,129.571752,401.84666046,70,미지정,0
278935,1117000000000004211,이태원동 258-497 도,도,국유지,18.479563142638654,126.99263138428874,37.54164361995754,101.74817844,254.18389449,129.571752,401.84666046,66,미지정,0
278936,1117000000000004212,이태원동 262-32 도,도,국유지,20.92112868418917,126.99018019971868,37.54463371073605,147.02511257,420.0513161,259.28980264,57.45492342,70,미지정,0
278936,1117000000000004212,이태원동 262-32 도,도,국유지,20.92112868418917,126.99018019971868,37.54463371073605,147.02511257,420.0513161,259.28980264,57.45492342,66,미지정,0
278937,1117000000000004213,이태원동 262-29 도,도,국유지,253.38694978132844,126.99025580045677,37.544875139989934,173.09653399,416.43851014,283.17113899,79.59789367,70,미지정,0
278937,1117000000000004213,이태원동 262-29 도,도,국유지,253.38694978132844,126.99025580045677,37.544875139989934,173.09653399,416.43851014,283.17113899,79.59789367,66,미지정,0
278938,1117000000000004214,이태원동 262-52 도,도,국유지,302.4582856371999,126.99015404909687,37.54477084778027,158.53139289,412.09485333,268.56945603,65.05290581,70,미지정,0
278938,1117000000000004214,이태원동 262-52 도,도,국유지,302.4582856371999,126.99015404909687,37.54477084778027,158.53139289,412.09485333,268.56945603,65.05290581,66,미지정,0
278939,1117000000000004215,이태원동 262-73도,도,국유지,2972.5293695912696,126.9903535614802,37.54531137893851,219.58043852,411.17470077,325.68697169,81.12574723,70,미지정,0
278939,1117000000000004215,이태원동 262-73도,도,국유지,2972.5293695912696,126.9903535614802,37.54531137893851,219.58043852,411.17470077,325.68697169,81.12574723,66,미지정,0
278940,1117000000000004216,이태원동 258-398도,도,국유지,48.23899242607877,126.99253339836652,37.54184526569066,93.15712824,275.25936962,152.59131838,379.415713,70,미지정,0
278940,1117000000000004216,이태원동 258-398도,도,국유지,48.23899242607877,126.99253339836652,37.54184526569066,93.15712824,275.25936962,152.59131838,379.415713,66,미지정,0
278941,1117000000000004217,이태원동 258-488 도,도,국유지,48.74430621927604,126.99334962135694,37.541628387664744,165.11087173,269.56143209,139.41034724,447.47785142,70,미지정,0
278941,1117000000000004217,이태원동 258-488 도,도,국유지,48.74430621927604,126.99334962135694,37.541628387664744,165.11087173,269.56143209,139.41034724,447.47785142,66,미지정,0
278942,1117000000000004218,이태원동 258-491 도,도,국유지,41.13766165729612,126.99343267048161,37.54162947321571,172.4202636,272.52974275,142.62547295,452.82015809,70,미지정,0
