parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_school,dist_to_childcare_center,complaint_count,building_use,target_label
390604,1117000000000004949,한남동 11-282도,도,국유지,134.77296663890593,127.01152288102774,37.53246489133942,241.11309744,912.92737621,489.12552069,180,미지정,0
390605,1117000000000004950,한남동 11-281도,도,국유지,31.283653939142823,127.01173984498796,37.53255124929445,226.07128174,916.31641959,499.3069725,180,미지정,0
390606,1117000000000004951,한남동 11-280도,도,국유지,87.4647877975367,127.01192215786227,37.532665691023624,209.74126095,915.85418242,505.94021916,180,미지정,0
390607,1117000000000004952,한남동 1-264도,도,국유지,5159.674068022694,127.01065060789959,37.53310786538183,222.31620427,810.55946812,384.95561862,180,미지정,0
390608,1117000000000004953,한남동 274-3도,도,국유지,152.61937071289867,127.00993192216224,37.533797057376695,236.06211657,711.8132534,290.61094828,180,미지정,0
390609,1117000000000004954,한남동 1-320 도,도,국유지,569.2713639035355,127.0101289659036,37.533934715818134,214.71100424,708.670896,299.22674029,180,미지정,0
390610,1117000000000004955,한남동 271-12 도,도,국유지,79.96925414155703,127.0099460566528,37.533307862508174,258.24636969,758.77913944,321.47284792,180,미지정,0
390611,1117000000000004956,한남동 1-313 도,도,국유지,574.4492038133321,127.01021390471999,37.53346589096181,228.93472054,756.2055636,330.84172942,180,미지정,1
390612,1117000000000004957,한남동 287-1도,도,국유지,321.1158060221933,127.01106729805451,37.53384766812791,142.44252794,766.08112021,379.44633089,180,미지정,0
390613,1117000000000004958,한남동 348-4 도,도,국유지,226.0896977696102,127.00925876516105,37.53201211901766,318.34899572,861.19692026,390.95329333,180,미지정,0
390614,1117000000000004959,한남동 348-2 도,도,국유지,138.35937503539026,127.00915504031954,37.53202780058849,317.15222228,856.17719408,384.9445704,180,미지정,0
390615,1117000000000004960,한남동 348 도,도,국유지,56.38744477729779,127.00930226040944,37.53204183910345,322.72748407,859.59671931,390.0384071,180,미지정,0
390616,1117000000000004961,한남동 339-3도,도,국유지,238.22439362981822,127.00939447847695,37.532094466576076,330.99482693,857.35383146,389.28647812,180,미지정,0
390617,1117000000000004962,한남동 344-1 도,도,국유지,70.1163753401488,127.00911463838175,37.53218085195291,332.41882161,839.07016586,368.37368897,180,미지정,1
390618,1117000000000004963,한남동 345-2 도,도,국유지,63.11700374586508,127.00899456566677,37.53217951631955,329.53911424,835.3376026,363.38089208,180,미지정,0
390619,1117000000000004964,한남동 345-3 도,도,국유지,30.768799518002197,127.00904465534832,37.53219007062011,331.77493186,835.84691215,364.46204237,180,미지정,0
390620,1117000000000004965,한남동 327-3 도,도,국유지,39.533937201835215,127.00890434346567,37.5322707535153,337.57935333,823.03169974,350.69851753,180,미지정,0
390621,1117000000000004966,한남동 339-7도,도,국유지,16.00483864499256,127.00904398825212,37.532272810092955,340.6488389,827.27976713,356.41524608,180,미지정,0
390622,1117000000000004967,한남동 327-7 도,도,국유지,23.190598093904555,127.00897587732656,37.532302516920474,342.41606451,822.01057928,350.59795385,180,미지정,0
390623,1117000000000004968,한남동 327-1 도,도,국유지,37.14517450891435,127.00899917505173,37.53231747378846,344.50722456,821.21510322,350.15127436,180,미지정,0
390624,1117000000000004969,한남동 339-1도,도,국유지,58.98691369430162,127.00911181146404,37.53231400446254,346.5951967,825.2660787,355.47007752,180,미지정,0
390625,1117000000000004970,한남동 345-1 도,도,국유지,26.442620661109686,127.00906395956223,37.53221516991282,334.90455512,833.87812982,362.85524216,180,미지정,1
390626,1117000000000004971,한남동 328-1 도,도,국유지,37.83678041072562,127.00901917785846,37.53235016329617,348.44898034,818.49068577,347.87209572,180,미지정,0
390627,1117000000000004972,한남동 328 도,도,국유지,56.05862146569416,127.00905329941376,37.532381980342414,352.59837991,816.33275761,346.34271583,180,미지정,0
390628,1117000000000004973,한남동 622-6 도,도,국유지,501.8757792664692,127.00599339502276,37.53135755819218,294.11010277,871.46859587,110.1131777,180,미지정,0
390629,1117000000000004974,한남동 628-1잡,잡,국유지,814.6383397486061,127.00628576801638,37.53234006067776,310.04802927,764.14152636,149.69946068,180,미지정,0
390630,1117000000000004975,한남동 627-4도,도,국유지,55.16575880907476,127.00605223235826,37.532408170860386,307.97314927,755.22972044,136.51195363,180,미지정,0
390631,1117000000000004976,한남동 78-12 도,도,국유지,68.31523474201094,127.00646821929446,37.53336590266609,195.64637657,652.4114568,195.82754401,180,미지정,0
390632,1117000000000004977,한남동 88-5 도,도,국유지,1536.7203268434387,127.00673034927019,37.53210436395372,329.90771103,794.20781122,176.08097226,180,미지정,0
390633,1117000000000004978,한남동 88-11 도,도,국유지,416.19769088178873,127.00614129007369,37.531796533697886,326.2855952,823.44703616,118.20369168,180,미지정,0
390634,1117000000000004979,한남동 88-16 잡,잡,국유지,104.27490742178634,127.00657661666433,37.53189813122286,317.9172995,815.36773765,157.86703792,180,미지정,1
390635,1117000000000004980,한남동 88-15 잡,잡,국유지,99.2717133788392,127.00657565446251,37.53199217619447,327.45153783,804.98035669,159.75923295,180,미지정,0
390636,1117000000000004981,한남동 88-4 잡,잡,국유지,415.6507864232408,127.0065764828674,37.53225188699292,315.13651167,776.33629772,168.5541548,180,미지정,0
390637,1117000000000004982,한남동 11-377도,도,국유지,27.016132727265358,127.01265930265068,37.533194717138706,146.97165156,913.27878597,537.0361,180,미지정,0
390638,1117000000000004983,한남동 11-113도,도,국유지,21.914966309443116,127.01290760429724,37.53350955326768,118.02713215,903.63502463,545.2731912,180,미지정,0
390639,1117000000000004984,한남동 11-268도,도,국유지,1580.1609071500716,127.0126155989587,37.53374874469654,85.57761393,866.62177777,512.66084038,180,미지정,0
390640,1117000000000004985,한남동 11-378도,도,국유지,99.34411629615352,127.01253457243014,37.53312961510483,153.20383748,911.11649932,529.7792426,180,미지정,0
390641,1117000000000004986,한남동 11-410도,도,국유지,184.45293133961968,127.01279973870304,37.53341534011415,125.20356534,904.24472409,539.70142144,180,미지정,0
390642,1117000000000004987,한남동 11-296도,도,국유지,265.17113160993904,127.01301772262609,37.533800558305444,93.25734745,888.50526779,545.30776364,180,미지정,0
390643,1117000000000004988,한남동 11-345도,도,국유지,478.94708096794784,127.01361443073418,37.53410278474044,112.40996619,906.78984508,589.4164366,180,미지정,0
