ÿ"³ëµå ID","Á¤·ù¼Ò¹øÈ£","Á¤·ù¼Ò¸í","XÁÂÇ¥","YÁÂÇ¥","Á¤·ù¼Ò Å¸ÀÔ"
"03149","102000055","ÀÌÅÂ¿øµ¿³²»ê´ë¸²¾ÆÆÄÆ®.¿ë»êµ¿¾ÆÆÄÆ®","126.9874799728","37.5398743674","°¡·Îº¯½Ã°£"
"03150","102000056","¿ë»êÇÑ½Å¾ÆÆÄÆ®","126.9871086322","37.5398054732","ÀÏ¹ÝÂ÷·Î"
"03151","102000057","ÇØ¹æÃÌ","126.986609087","37.537817739","ÀÏ¹ÝÂ÷·Î"
"03152","102000058","±¹±ºÀçÁ¤°ü¸®´Ü","126.9868496115","37.5373177108","ÀÏ¹ÝÂ÷·Î"
"03153","102000059","¿ë»ê±¸Ã»","126.991163","37.530303","ÀÏ¹ÝÂ÷·Î"
"03154","102000060","¿ë»ê±¸Ã»","126.9911698907","37.5294095764","ÀÏ¹ÝÂ÷·Î"
"03155","102000061","ÇÑ°­ÁßÇÐ±³","126.9921715396","37.5254587536","ÀÏ¹ÝÂ÷·Î"
"03156","102000062","ÇÑ°­ÁßÇÐ±³","126.9924287738","37.5245025908","ÀÏ¹ÝÂ÷·Î"
"03157","102000063","¼­ºù°í¿ª1¹øÃâ±¸","126.9899502397","37.5200464191","ÀÏ¹ÝÂ÷·Î"
"03158","102000064","ÀåÃæ´Ü·ÎÀÔ±¸","127.002202","37.545795","ÀÏ¹ÝÂ÷·Î"
"03159","102000065","³²»ê¸Ç¼Ç¾ÆÆÄÆ®.³²»ê¿¹¼ú¿ø","127.00204","37.544437","ÀÏ¹ÝÂ÷·Î"
"03160","102000066","¼­¿ï½Ã±â¼ú±³À°¿øÁßºÎ.ºí·ç½ºÄù¾î","127.0033851827","37.5416918639","ÀÏ¹ÝÂ÷·Î"
"03161","102000067","¼­¿ï½Ã±â¼ú±³À°¿øÁßºÎ.ºí·ç½ºÄù¾î","127.0031508133","37.5411791533","ÀÏ¹ÝÂ÷·Î"
"03162","102000068","¼øÃµÇâ´ëÇÐº´¿ø","127.0057302453","37.5364422432","°¡·Îº¯½Ã°£"
"03163","102000069","¼øÃµÇâ´ëÇÐº´¿ø","127.0062993526","37.5356114027","°¡·Îº¯ÀüÀÏ"
"03164","102000070","¼øÃµÇâ´ëÇÐº´¿ø","127.0054993584","37.5357934643","ÀÏ¹ÝÂ÷·Î"
"03165","102000071","¼øÃµÇâ´ëÇÐº´¿ø.ÇÑ³²¿À°Å¸®","127.0057290409","37.5354906847","ÀÏ¹ÝÂ÷·Î"
"03166","102000072","ÇÑ³²¿À°Å¸®","127.0083126426","37.5328478217","ÀÏ¹ÝÂ÷·Î"
"03167","102000073","³²»êµµ¼­°ü.¿ë»êµµ¼­°ü","126.980835","37.552282","ÀÏ¹ÝÂ÷·Î"
"03168","102000074","³²»êµµ¼­°ü.¿ë»êµµ¼­°ü","126.9811340112","37.5520442521","ÀÏ¹ÝÂ÷·Î"
"03169","102000075","ÈÄ¾Ï¾à¼öÅÍ","126.98432","37.54869","ÀÏ¹ÝÂ÷·Î"
"03170","102000076","ÈÄ¾Ï¾à¼öÅÍ","126.9841668777","37.548395263","ÀÏ¹ÝÂ÷·Î"
"03171","102000077","¿ë»ê2°¡µ¿ÁÖ¹Î¼¾ÅÍ.º¸¼º¿©Áß°í","126.9858399758","37.5463968458","ÀÏ¹ÝÂ÷·Î"
"03172","102000078","¿ë»ê2°¡µ¿ÁÖ¹Î¼¾ÅÍ.º¸¼º¿©Áß°í","126.9856317665","37.5462598541","ÀÏ¹ÝÂ÷·Î"
"03173","102000079","³²»ê¾ß¿Ü½Ä¹°¿øÀÔ±¸","126.9927901963","37.5427038827","ÀÏ¹ÝÂ÷·Î"
"03174","102000080","³²»ê¾ß¿Ü½Ä¹°¿øÀÔ±¸","126.992916961","37.5425047481","ÀÏ¹ÝÂ÷·Î"
"03175","102000081","ÇÏ¾æÆ®È£ÅÚ","126.9961358368","37.5417535527","ÀÏ¹ÝÂ÷·Î"
"03176","102000082","ÇÏ¾æÆ®È£ÅÚ","126.9974258076","37.540866103","ÀÏ¹ÝÂ÷·Î"
"03177","102000083","¿ë¸¶·ç°í°³(¼­¿ïÀÚµ¿Â÷°íµîÇÐ±³)","126.9584647114","37.5406368923","ÀÏ¹ÝÂ÷·Î"
"03178","102000084","¿ë¸¶·ç°í°³.È¿Ã¢ÆÄÅ©Çª¸£Áö¿À¾ÆÆÄÆ®","126.9585520334","37.5402999129","ÀÏ¹ÝÂ÷·Î"
"03179","102000085","È¿Ã¢°ø¿ø¾Õ¿ª.ÀÌºÀÃ¢¿ª»ç¿ï¸²°ü","126.9618971064","37.5392719714","ÀÏ¹ÝÂ÷·Î"
"03180","102000086","È¿Ã¢°ø¿ø¾Õ¿ª.ÀÌºÀÃ¢¿ª»ç¿ï¸²°ü","126.9626978558","37.5388284845","ÀÏ¹ÝÂ÷·Î"
"03181","102000087","¿ë»ê²Þ³ª¹«Á¾ÇÕÅ¸¿î.º¸°ÇºÐ¼Ò","126.9649997667","37.5384268178","ÀÏ¹ÝÂ÷·Î"
"03182","102000088","¿ë»ê²Þ³ª¹«Á¾ÇÕÅ¸¿î.º¸°ÇºÐ¼Ò","126.964648","37.538295","ÀÏ¹ÝÂ÷·Î"
"03183","102000089","¿øÈ¿·ÎÁ¦1µ¿ÁÖ¹Î¼¾ÅÍ","126.9669923459","37.5376607152","ÀÏ¹ÝÂ÷·Î"
"03184","102000090","ÀüÀï±â³ä°ü","126.9768577525","37.5347586674","ÀÏ¹ÝÂ÷·Î"
"03185","102000091","ÀüÀï±â³ä°ü","126.9753831458","37.534651168","ÀÏ¹ÝÂ÷·Î"
"03186","102000092","³ì»çÆò¿ª","126.9851183494","37.5351069553","ÀÏ¹ÝÂ÷·Î"
"03187","102000093","³ì»çÆò¿ª","126.9853046955","37.5347582183","ÀÏ¹ÝÂ÷·Î"
"03188","102000094","¿ë»ê±¸Ã».ÀÌÅÂ¿ø½ÃÀå","126.9904706555","37.5343830489","ÀÏ¹ÝÂ÷·Î"
"03189","102000095","¿ë»ê±¸Ã».ÀÌÅÂ¿ø½ÃÀå","126.9900096398","37.5341127106","ÀÏ¹ÝÂ÷·Î"
"03190","102000096","ÀÌÅÂ¿ø¿ª1¹øÃâ±¸.ÇØ¹ÐÅÏÈ£ÅÚ","126.993043","37.534552","ÀÏ¹ÝÂ÷·Î"
"03191","102000097","ÀÌÅÂ¿ø¿ª4¹øÃâ±¸.ÇØ¹ÐÅÏÈ£ÅÚ","126.9934293088","37.5343539681","ÀÏ¹ÝÂ÷·Î"
"03192","102000098","ÀÌÅÂ¿ø119¾ÈÀü¼¾ÅÍ","126.996387","37.53479","ÀÏ¹ÝÂ÷·Î"
"03193","102000099","ÀÌÅÂ¿ø119¾ÈÀü¼¾ÅÍ","126.997179939","37.534604145","ÀÏ¹ÝÂ÷·Î"
"03194","102000100","ÇÑ³²µ¿ÁÖ¹Î¼¾ÅÍ","127.0004667254","37.5370458894","ÀÏ¹ÝÂ÷·Î"
"03195","102000101","ÇÑ³²µ¿ÁÖ¹Î¼¾ÅÍ","127.0006042579","37.5367073033","ÀÏ¹ÝÂ÷·Î"
"03196","102000102","ÇÑ°­Áø¿ª.ºí·ç½ºÄù¾î","127.001695","37.540805","ÀÏ¹ÝÂ÷·Î"
"03197","102000103","ÇÑ°­Áø¿ª.ºí·ç½ºÄù¾î","127.0020254103","37.5409291837","ÀÏ¹ÝÂ÷·Î"
"03198","102000104","¼­¿ï¿ª11¹øÃâ±¸","126.9738943742","37.5536168846","ÀÏ¹ÝÂ÷·Î"
"03199","102000105","ÈÄ¾Ï»ï°Å¸®","126.9765772255","37.5525408404","ÀÏ¹ÝÂ÷·Î"
"03200","102000106","ÈÄ¾Ï½ÃÀå","126.9770644706","37.5506891863","ÀÏ¹ÝÂ÷·Î"
"03201","102000107","ÈÄ¾Ï½ÃÀå","126.9775446282","37.5497467332","ÀÏ¹ÝÂ÷·Î"
"03202","102000108","¿ë»êÁß°í","126.9781855672","37.5466597949","ÀÏ¹ÝÂ÷·Î"
"03203","102000109","¿ë»êÁß°í","126.978225","37.547205","ÀÏ¹ÝÂ÷·Î"
"03204","102000110","ÈÄ¾Ïµ¿Á¾Á¡.¿ë»êÁßÇÐ±³","126.9809588102","37.5466989277","ÀÏ¹ÝÂ÷·Î"
"03205","102000111","¿ë»ê°íµîÇÐ±³","126.977563","37.54574","ÀÏ¹ÝÂ÷·Î"
"03206","102000112","¼­¿ï½Ã±³À°Ã».³²¿µµ¿ÁÖ¹Î¼¾ÅÍ","126.976572","37.545772","ÀÏ¹ÝÂ÷·Î"
"03207","102000113","¼­¿ï½Ã±³À°Ã».³²¿µµ¿ÁÖ¹Î¼¾ÅÍ","126.975732","37.545505","ÀÏ¹ÝÂ÷·Î"
"03208","102000114","³²¿µ¿ìÃ¼±¹","126.973235384","37.5451241168","ÀÏ¹ÝÂ÷·Î"
"03209","102000115","°¥¿ùµ¿»çÈ¸º¹Áö°ü.³²¿µ¿ìÃ¼±¹","126.973962","37.545409","ÀÏ¹ÝÂ÷·Î"
"03210","102000116","ÇÑ³²½Ã¹ü¾ÆÆÄÆ®","127.0122607528","37.5379429734","ÀÏ¹ÝÂ÷·Î"
"03211","102000117","ÇÑ³²½Ã¹ü¾ÆÆÄÆ®","127.0126714787","37.5377041394","ÀÏ¹ÝÂ÷·Î"
"03212","102000118","ÇÑ³²µ¿","127.0084445845","37.5339127002","ÀÏ¹ÝÂ÷·Î"
"03213","102000119","ÇÑ³²µ¿","127.0087002913","37.5337549896","ÀÏ¹ÝÂ÷·Î"
"03214","102000120","ÀÌÃÌµ¿µ¿ºÎ¼¾Æ®·¹ºô","126.9660096214","37.5215595386","ÀÏ¹ÝÂ÷·Î"
"03215","102000121","ÀÌÃÌµ¿µÎ»êÀ§ºêÆ®·¹Áö¿ò.ÇÑ°­´ë¿ì¾ÆÆÄÆ®","126.9675282802","37.5215734809","ÀÏ¹ÝÂ÷·Î"
"03216","102000122","ÀÌÃÌ1µ¿Ãæ½Å±³È¸¾Õ","126.968480845","37.5212831472","ÀÏ¹ÝÂ÷·Î"
"03217","102000123","ÀÌÃÌµ¿ÇÑ°¡¶÷¾ÆÆÄÆ®.ÀÌÃÌ¿ª","126.9718842721","37.520656299","ÀÏ¹ÝÂ÷·Î"
"03218","102000124","ÀÌÃÌµ¿ÇÑ°­¸Ç¼Ç.ÀÌÃÌ¿ª","126.972709783","37.5201804898","ÀÏ¹ÝÂ÷·Î"
"03219","102000125","½Å¿ë»êÃÊµîÇÐ±³","126.9745085046","37.5198497731","ÀÏ¹ÝÂ÷·Î"
"03220","102000126","½Å¿ë»êÃÊµîÇÐ±³.Áß°æ°íµîÇÐ±³","126.9762479627","37.5190775256","ÀÏ¹ÝÂ÷·Î"
"03221","102000127","Áß°æ°íµîÇÐ±³.ÀÌÃÌµ¿°­ÃÌ¾ÆÆÄÆ®","126.9775234206","37.5189178471","ÀÏ¹ÝÂ÷·Î"
"03222","102000128","ÀÌÃÌµ¿Á¡º¸¾ÆÆÄÆ®","126.9784408808","37.5183827987","ÀÏ¹ÝÂ÷·Î"
"03223","102000129","ÀÌÃÌµ¿Çö´ë¾ÆÆÄÆ®","126.9787120007","37.5185336834","ÀÏ¹ÝÂ÷·Î"
"03224","102000130","±Ý°­º´¿ø.¹Ýµµ¾ÆÆÄÆ®","126.9811234284","37.517704332","ÀÏ¹ÝÂ÷·Î"
"03225","102000131","¼­ºù°í½Åµ¿¾Æ¾ÆÆÄÆ®","126.9851053606","37.517936953","ÀÏ¹ÝÂ÷·Î"
"03226","102000132","¼­ºù°í½Åµ¿¾Æ¾ÆÆÄÆ®","126.985371435","37.5174859672","ÀÏ¹ÝÂ÷·Î"
"03227","102000133","¸¸¸®µ¿°í°³","126.9628215994","37.551670014","ÀÏ¹ÝÂ÷·Î"
"03228","102000134","¼Õ±âÁ¤Ã¼À°°ø¿ø","126.9664230215","37.5542153265","ÀÏ¹ÝÂ÷·Î"
"03229","102000135","¼÷´ëÀÔ±¸¿ª","126.970799","37.544479","ÀÏ¹ÝÂ÷·Î"
"03230","102000136","³²¿µ¿ª.¹ÎÁÖÈ­¿îµ¿±â³ä°ü","126.9709244565","37.5422202391","ÀÏ¹ÝÂ÷·Î"
"03231","102000137","¼÷¸í¿©´ëµµ¼­°ü¾Õ","126.9672216718","37.5448468654","ÀÏ¹ÝÂ÷·Î"
"03232","102000138","¼÷¸í¿©´ëµµ¼­°ü¾Õ","126.9664464653","37.5448412411","ÀÏ¹ÝÂ÷·Î"
"03233","102000139","¼÷¸í¿©´ëÁ¤¹®","126.9641094647","37.5449594985","ÀÏ¹ÝÂ÷·Î"
"03234","102000140","¼÷¸í¿©´ëÁ¤¹®","126.9643096929","37.5451307674","ÀÏ¹ÝÂ÷·Î"
"03235","102000141","¼÷¸í¿©´ëÈÄ¹®.ÀÌºÀÃ¢È°µ¿ÅÍ","126.9632996424","37.5460839723","ÀÏ¹ÝÂ÷·Î"
"03236","102000142","È¿Ã¢°ø¿øÈÄ¹®","126.9625778991","37.5467910299","ÀÏ¹ÝÂ÷·Î"
"03237","102000143","ÇÑ°Ü·¹½Å¹®»çÀÔ±¸","126.9591928852","37.5458806239","ÀÏ¹ÝÂ÷·Î"
"03238","102000144","´ëÇÑ³ëÀÎÈ¸Áß¾ÓÈ¸","126.9576684412","37.5437890449","ÀÏ¹ÝÂ÷·Î"
"03239","102000145","È¿Ã¢¿îµ¿Àå.È¿Ã¢µ¿ÁÖ¹Î¼¾ÅÍ","126.9617671315","37.5422095196","ÀÏ¹ÝÂ÷·Î"
"03240","102000146","È¿Ã¢µ¿ÁÖ¹Î¼¾ÅÍ.±Ý¾çÃÊµîÇÐ±³","126.9622336676","37.5416239572","ÀÏ¹ÝÂ÷·Î"
"03241","102000147","±Ý¾çÃÊµîÇÐ±³","126.9620007403","37.5412992546","ÀÏ¹ÝÂ÷·Î"
"03242","102000148","È¿Ã¢°ø¿ø¿ª","126.9610378658","37.5387860159","ÀÏ¹ÝÂ÷·Î"
"03243","102000149","µµ¿ø»ï¼º·¡¹Ì¾È¾ÆÆÄÆ®","126.9574338661","37.539776803","ÀÏ¹ÝÂ÷·Î"
"03244","102000150","µµ¿ø»ï¼º·¡¹Ì¾È¾ÆÆÄÆ®","126.9572103137","37.5396254142","ÀÏ¹ÝÂ÷·Î"
"03245","102000151","Áß¾ÓÇÏÀÌÃ÷ºô¶ó¾Õ","126.9600336494","37.5380144603","ÀÏ¹ÝÂ÷·Î"
"03246","102000152","Áß¾ÓÇÏÀÌÃ÷ºô¶ó¾Õ","126.9598809227","37.5379738635","ÀÏ¹ÝÂ÷·Î"
"03247","102000153","¿ë¹®½ÃÀå","126.9609679808","37.5363479221","ÀÏ¹ÝÂ÷·Î"
"03248","102000154","¿ë¹®½ÃÀå","126.9613595571","37.5359792047","ÀÏ¹ÝÂ÷·Î"
"03249","102000155","¿ë»êÀüÀÚ»ó°¡ÀÔ±¸","126.9622225151","37.5345701678","ÀÏ¹ÝÂ÷·Î"
"03250","102000156","¿ë»êÀüÀÚ»ó°¡ÀÔ±¸","126.9619447091","37.5346611171","ÀÏ¹ÝÂ÷·Î"
"03251","102000157","½Å¿ë»êÁöÇÏÂ÷µµ","126.963668181","37.5328348806","ÀÏ¹ÝÂ÷·Î"
"03252","102000158","½Å¿ë»êÁöÇÏÂ÷µµ","126.963882","37.53259","ÀÏ¹ÝÂ÷·Î"
"03253","102000159","½Å¿ë»ê¿ª5¹øÃâ±¸","126.9676784797","37.5300338589","ÀÏ¹ÝÂ÷·Î"
"03255","102000161","¿ë»ê¿ª","126.9658224646","37.5288666127","ÀÏ¹ÝÂ÷·Î"
