"기준일ID","시간대구분","행정동코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20260501","08","11170690","15014.7519","605.9144","436.9344","464.8275","323.6984","366.1905","390.4786","525.1029","679.1204","763.8119","653.0139","650.8453","463.7293","306.1843","696.4439","619.6425","395.882","398.5762","406.9836","415.4809","406.869","609.731","786.4593","832.4286","532.1068","572.4277","468.5618","355.4504","887.8568",""
"20260501","08","11170685","22566.4415","844.0632","362.3164","291.573","583.8884","810.4561","897.6774","1222.0345","1186.5058","1349.3696","999.8763","978.1194","582.8699","342.9778","727.8985","457.6169","204.7026","380.7102","685.0225","844.348","992.3609","1393.1285","1408.571","1044.8542","888.2209","770.6782","679.8115","514.421","1122.3667",""
"20260501","08","11170660","10910.7182","257.3734","116.7157","164.3502","280.3797","396.232","488.5718","632.4057","677.5681","573.9347","385.4662","336.9893","243.2469","160.877","397.8347","303.7604","149.6466","210.1953","366.2512","486.7459","616.2155","671.5294","592.7064","623.5203","371.04","369.2592","270.5736","222.9491","544.3799",""
"20260501","08","11170650","8316.567","128.7406","68.9385","101.9023","329.9844","485.8705","604.9662","620.6257","380.3877","486.0118","296.1143","235.6799","224.5279","125.3334","328.2198","194.5406","86.4625","97.5134","274.8606","404.32","435.5608","408.65","323.5387","337.3758","256.0213","261.3008","224.9946","167.7787","426.3455",""
"20260501","08","11170640","8166.2649","407.6575","142.5686","144.6048","182.1291","220.1984","282.4942","465.6474","449.2541","350.9893","306.6803","291.6646","267.6108","183.0178","339.4513","183.5816","83.4462","177.0917","282.1643","281.8967","335.6861","452.3963","373.5368","313.7573","296.2777","301.6177","269.0511","235.6719","546.1222",""
"20260501","08","11170630","25899.6776","1411.4109","758.0487","688.2396","522.5996","568.0229","586.7216","939.3249","1110.311","1144.2609","978.4528","1051.5723","691.6526","484.0754","1027.2402","1303.9548","673.5475","688.0159","654.211","590.8882","717.6133","1178.2633","1297.0335","1311.9002","1258.136","1079.1855","881.0252","596.8136","1707.1565",""
"20260501","08","11170625","41250.7512","1256.1058","530.0022","1008.6665","2071.5735","1589.441","1853.1194","2208.3664","1997.2464","1900.3656","1448.1859","1473.1492","1121.1646","601.2741","1292.0892","1244.8416","463.3261","747.0495","1561.0959","2007.7171","2266.2314","2447.9243","1857.1686","1703.7952","1460.791","1442.227","1152.5973","749.5306","1795.7054",""
"20260501","08","11170590","7373.941","220.7909","99.7391","172.6235","141.2712","224.0376","284.9379","354.3898","335.9994","300.3028","270.7034","277.7534","207.4762","166.3353","290.0675","235.0282","103.547","131.0363","251.6859","298.0648","387.1882","415.9611","284.3328","257.9005","265.8717","355.6093","263.0746","220.3439","557.869",""
"20260501","08","11170580","10242.9535","284.4619","167.9758","201.5588","224.3914","401.649","454.5011","542.8364","444.3475","425.3195","362.2863","331.3614","249.3415","172.608","388.3822","370.285","174.7042","278.4319","460.1968","461.6208","539.9157","547.4182","478.0824","357.2679","372.1542","359.8483","289.1487","233.8672","668.9911",""
"20260501","08","11170570","14942.1702","528.0958","236.1331","294.1484","299.2337","543.4358","639.7254","659.5695","615.8274","735.9108","524.6195","580.2821","434.846","255.5266","600.4952","318.8774","255.21","280.664","562.846","728.156","784.8495","789.9934","681.8072","611.6583","575.7287","560.8651","505.5297","366.2532","971.8815",""
"20260501","08","11170560","18301.9599","707.5202","226.0717","323.4375","328.9071","625.0935","977.4964","1076.7505","869.1509","763.9639","643.0647","596.6035","405.8359","249.6708","532.7394","651.5254","192.9324","324.6072","780.1814","1147.2246","1170.778","1384.2736","861.9484","750.4016","649.8196","545.2302","493.9687","300.095","722.668",""
"20260501","08","11170555","21796.7864","369.0275","265.6996","397.4858","733.9269","906.4976","1052.5417","1145.858","776.4954","832.5673","750.11","668.3783","530.9425","365.059","694.7744","344.1925","186.5645","764.7745","2161.1152","1504.883","1232.4743","1073.42","762.0758","739.6944","672.137","725.3645","591.578","416.4429","1132.7037",""
